"atom_id","source_dataset_id","source_row_id","domain","unit_type","primary_label","secondary_labels","anchor_entity","anchor_role","relation_label","secondary_entity","secondary_role","core_statement","attributes","tags","context_time","context_location","supports","contradicts","provenance","confidence","status","notes","","","","","",""
"motive_patterns__r10__a870","motive_patterns","10","motive_patterns","entry_point","fear","[""motive_patterns""]","fear","motive_category","links_motive_category_to_surface_motive","avoid punishment","surface_motive","motive_category=fear is structurally linked to surface_motive=avoid punishment in motive_patterns.","{""motive_category"":""fear"",""surface_motive"":""avoid punishment""}","[""dataset:motive_patterns"",""col:motive_category"",""col:surface_motive""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset motive_patterns, row 10."
"case_archetypes_merged__r10__a871","case_archetypes_merged","10","case_archetypes_merged","entry_point","domestic_dispute","[""case_archetypes_merged""]","domestic_dispute","case_archetype","links_case_archetype_to_setup","shared_residence","setup","case_archetype=domestic_dispute is structurally linked to setup=shared_residence in case_archetypes_merged.","{""case_archetype"":""domestic_dispute"",""setup"":""shared_residence""}","[""dataset:case_archetypes_merged"",""col:case_archetype"",""col:setup""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset case_archetypes_merged, row 10."
"frnsc_reasoning_fallacies_mtrx__r10__a872","frnsc_reasoning_fallacies_mtrx","10","frnsc_reasoning_fallacies_mtrx","entry_point","confirmation_bias","[""frnsc_reasoning_fallacies_mtrx""]","confirmation_bias","fallacy_name","links_fallacy_name_to_surface_form","selective_detail_focus","surface_form","fallacy_name=confirmation_bias is structurally linked to surface_form=selective_detail_focus in frnsc_reasoning_fallacies_mtrx.","{""fallacy_name"":""confirmation_bias"",""surface_form"":""selective_detail_focus""}","[""dataset:frnsc_reasoning_fallacies_mtrx"",""col:fallacy_name"",""col:surface_form""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset frnsc_reasoning_fallacies_mtrx, row 10."
"alibi_patterns__r10__a873","alibi_patterns","10","alibi_patterns","entry_point","home_alone","[""alibi_patterns""]","home_alone","alibi_scenario_type","links_alibi_scenario_type_to_claimed_location","private_residence","claimed_location","alibi_scenario_type=home_alone is structurally linked to claimed_location=private_residence in alibi_patterns.","{""alibi_scenario_type"":""home_alone"",""claimed_location"":""private_residence""}","[""dataset:alibi_patterns"",""col:alibi_scenario_type"",""col:claimed_location""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset alibi_patterns, row 10."
"alibi_artifact_consistency__r10__a874","alibi_artifact_consistency","10","alibi_artifact_consistency","entry_point","card_payment","[""alibi_artifact_consistency""]","card_payment","alibi_claim_type","links_alibi_claim_type_to_forensic_artifact","transaction_log","forensic_artifact","alibi_claim_type=card_payment is structurally linked to forensic_artifact=transaction_log in alibi_artifact_consistency.","{""alibi_claim_type"":""card_payment"",""forensic_artifact"":""transaction_log""}","[""dataset:alibi_artifact_consistency"",""col:alibi_claim_type"",""col:forensic_artifact""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset alibi_artifact_consistency, row 10."
"scenario_timelines_patterns__r10__a875","scenario_timelines_patterns","10","scenario_timelines_patterns","entry_point","evening_argument","[""scenario_timelines_patterns""]","evening_argument","scenario_type","links_scenario_type_to_claimed_time","late_evening","claimed_time","scenario_type=evening_argument is structurally linked to claimed_time=late_evening in scenario_timelines_patterns.","{""scenario_type"":""evening_argument"",""claimed_time"":""late_evening""}","[""dataset:scenario_timelines_patterns"",""col:scenario_type"",""col:claimed_time""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset scenario_timelines_patterns, row 10."
"forensic_evidense_pattern__r10__a876","forensic_evidense_pattern","10","forensic_evidense_pattern","entry_point","bloodstain","[""forensic_evidense_pattern""]","bloodstain","evidence_type","links_evidence_type_to_substrate","textile_surface","substrate","evidence_type=bloodstain is structurally linked to substrate=textile_surface in forensic_evidense_pattern.","{""evidence_type"":""bloodstain"",""substrate"":""textile_surface""}","[""dataset:forensic_evidense_pattern"",""col:evidence_type"",""col:substrate""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset forensic_evidense_pattern, row 10."
"behavioral_anomalies__r10__a877","behavioral_anomalies","10","behavioral_anomalies","entry_point","questioning","[""behavioral_anomalies""]","questioning","scenario_type","links_scenario_type_to_observable_behavior","avoids_eye_contact","observable_behavior","scenario_type=questioning is structurally linked to observable_behavior=avoids_eye_contact in behavioral_anomalies.","{""scenario_type"":""questioning"",""observable_behavior"":""avoids_eye_contact""}","[""dataset:behavioral_anomalies"",""col:scenario_type"",""col:observable_behavior""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset behavioral_anomalies, row 10."
"trace_evidence_matrix__r10__a878","trace_evidence_matrix","10","trace_evidence_matrix","entry_point","gravel_path","[""trace_evidence_matrix""]","gravel_path","environment_type","links_environment_type_to_expected_trace","stone_particles","expected_trace","environment_type=gravel_path is structurally linked to expected_trace=stone_particles in trace_evidence_matrix.","{""environment_type"":""gravel_path"",""expected_trace"":""stone_particles""}","[""dataset:trace_evidence_matrix"",""col:environment_type"",""col:expected_trace""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset trace_evidence_matrix, row 10."
"for_evidence_probability_mtrx__r10__a879","for_evidence_probability_mtrx","10","for_evidence_probability_mtrx","entry_point","single_fingerprint","[""for_evidence_probability_mtrx""]","single_fingerprint","evidence_type","links_evidence_type_to_strength_indicator","moderate","strength_indicator","evidence_type=single_fingerprint is structurally linked to strength_indicator=moderate in for_evidence_probability_mtrx.","{""evidence_type"":""single_fingerprint"",""strength_indicator"":""moderate""}","[""dataset:for_evidence_probability_mtrx"",""col:evidence_type"",""col:strength_indicator""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset for_evidence_probability_mtrx, row 10."
"motive_patterns__r11__a880","motive_patterns","11","motive_patterns","entry_point","opportunity","[""motive_patterns""]","opportunity","motive_category","links_motive_category_to_surface_motive","take unused item","surface_motive","motive_category=opportunity is structurally linked to surface_motive=take unused item in motive_patterns.","{""motive_category"":""opportunity"",""surface_motive"":""take unused item""}","[""dataset:motive_patterns"",""col:motive_category"",""col:surface_motive""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset motive_patterns, row 11."
"case_archetypes_merged__r11__a881","case_archetypes_merged","11","case_archetypes_merged","entry_point","workplace_conflict","[""case_archetypes_merged""]","workplace_conflict","case_archetype","links_case_archetype_to_setup","shared_workspace","setup","case_archetype=workplace_conflict is structurally linked to setup=shared_workspace in case_archetypes_merged.","{""case_archetype"":""workplace_conflict"",""setup"":""shared_workspace""}","[""dataset:case_archetypes_merged"",""col:case_archetype"",""col:setup""]","","","[]","[]","{""source"":""umgg_entry_points"",""source_type"":""dataset_row"","""rule_ids"":[""umgg_ep_v1""]",""umgg_mastergrid_version"":""1.0""}","0.9","active","UMGG entry point from dataset case_archetypes_merged, row 11."
